title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
CHASING DARKNESS,Robert Crais,Simon & Schuster,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,20,0,9780743281645,hardcover-fiction,2008-08-12
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,1,8,9780316143479,hardcover-nonfiction,2008-08-12
THE DARK SIDE,Jane Mayer,Anchor,How the Bush administration embraced the practice of torture.,2,2,9780385526395,hardcover-nonfiction,2008-08-12
LIFE WITH MY SISTER MADONNA,Christopher Ciccone with Wendy Leigh,Simon Spotlight Entertainment,What she’s really like.,3,2,9781416587620,hardcover-nonfiction,2008-08-12
STORI TELLING,Tori Spelling with Hilary Liftin,Simon Spotlight Entertainment,"The actress’s memoir, from her Hollywood childhood through “Beverly Hills, 90210,” to her son’s birth.",4,9,9781416950738,hardcover-nonfiction,2008-08-12
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,5,14,9781416954125,hardcover-nonfiction,2008-08-12
FLEECED,Dick Morris and Eileen McGann,Harper,"Americans are fleeced by government, business, labor unions and lobbyists.",6,5,9780061547751,hardcover-nonfiction,2008-08-12
HAVANA NOCTURNE,T. J. English,Morrow,"Tales of the pre-Castro days when American gangsters, led by Meyer Lansky, controlled Cuba’s casinos, hotels and nightclubs, creating an exuberant night life.",7,1,9780061147715,hardcover-nonfiction,2008-08-12
THE MONSTER OF FLORENCE,Douglas Preston with Mario Spezi,Grand Central,An American writer who moved to Florence works with an Italian journalist to discover the identity of a local serial killer.,8,7,9780446581196,hardcover-nonfiction,2008-08-12
WHAT HAPPENED,Scott McClellan,PublicAffairs,A former White House press secretary regrets that “I allowed myself to be deceived” by top officials.,9,9,9781586485566,hardcover-nonfiction,2008-08-12
THE POST-AMERICAN WORLD: RELEASE 2.0,Fareed Zakaria,Norton,The rise of China and India and the global distribution of power.,10,13,9780393062359,hardcover-nonfiction,2008-08-12
EMPIRES OF THE SEA,Roger Crowley,Random House,The 16th-century struggle between the Ottoman Empire and Christian Europe for control of the ­Mediterranean.,11,1,9781400066247,hardcover-nonfiction,2008-08-12
MY STROKE OF INSIGHT,Jill Bolte Taylor,Viking,A brain scientist shares what she learned from her 1996 stroke.,12,8,9780670020744,hardcover-nonfiction,2008-08-12
AUDITION,Barbara Walters,Knopf,A personal and professional memoir.,13,12,9780739327302,hardcover-nonfiction,2008-08-12
HEAVEN AND HELL,Don Felder with Wendy Holden,Wiley,Twenty-seven years as a guitarist for the Eagles.,14,1,9780470289068,hardcover-nonfiction,2008-08-12
THE PROSECUTION OF GEORGE W. BUSH FOR MURDER,Vincent Bugliosi,Vanguard,"The Manson prosecutor makes a case for trying the president for the deaths of 4,000 American soldiers in Iraq.",15,7,9781593154813,hardcover-nonfiction,2008-08-12
THE MAN WHO LOVED CHINA,Simon Winchester,Harper,,16,0,9780060884598,hardcover-nonfiction,2008-08-12
ME OF LITTLE FAITH,Lewis Black,Riverhead,The stand-up comedian’s essays about religion.,17,0,9781594489945,hardcover-nonfiction,2008-08-12
FREAKONOMICS,Steven D. Levitt and Stephen J. Dubner,Morrow,"How to apply economic theory to almost everything.
",18,0,9780061234002,hardcover-nonfiction,2008-08-12
I AM AMERICA (AND SO CAN YOU!),Stephen Colbert,Grand Central,The wit and wisdom of the mock pundit of Comedy Central’s “Colbert Report.”,19,0,9780446580502,hardcover-nonfiction,2008-08-12
HERO OF THE UNDERGROUND,Jason Peter and Tony O'Neill,St. Martin''s,,20,0,9780312561031,hardcover-nonfiction,2008-08-12
THE SECRET SERVANT,Daniel Silva,Signet,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",1,2,9780451224507,hardcover-fiction,2008-08-19
THE BOURNE SANCTION,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne pursues the leader of a Muslim terrorist group.,2,1,9780446539869,hardcover-fiction,2008-08-19
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",3,13,9780316068048,hardcover-fiction,2008-08-19
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,4,8,9780061374227,hardcover-fiction,2008-08-19
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",5,1,9780385340991,hardcover-fiction,2008-08-19
TRIBUTE,Nora Roberts,Putnam,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",6,4,9780399154911,hardcover-fiction,2008-08-19
THE LACE READER,Brunonia Barry,Morrow,Secrets of a family of Salem women who foresee the future.,7,1,9780061624766,hardcover-fiction,2008-08-19
THE LAST PATRIOT,Brad Thor,Atria,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",8,5,9781416543831,hardcover-fiction,2008-08-19
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,9,8,9780316018708,hardcover-fiction,2008-08-19
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",10,10,9780743290111,hardcover-fiction,2008-08-19
DAMAGE CONTROL,J. A. Jance,Morrow,An elderly couple’s suicide-by-accident in the mountains is not what it appears; the 13th Joanna Brady mystery.,11,2,9780060746766,hardcover-fiction,2008-08-19
FEARLESS FOURTEEN,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,12,7,9780312349516,hardcover-fiction,2008-08-19
THE CLONE WARS,Karen Traviss,Del Rey,"In the years before “Revenge of the Sith,” the Republic does battle with an army of cloned soldiers; a “Star Wars” novel.",13,1,9780345508980,hardcover-fiction,2008-08-19
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,14,12,9780312348670,hardcover-fiction,2008-08-19
FRACTURED,Karin Slaughter,Delacorte,An Atlanta detective pursue’s a teenage girl’s killer.,15,1,9780385341950,hardcover-fiction,2008-08-19
JUST TOO GOOD TO BE TRUE,E. Lynn Harris,Double­day,"Secrets threaten the relationship between a mother, a successful Atlanta entrepreneur, and her son, a college football player who is bound for the N.F.L.",16,3,9780385492720,hardcover-fiction,2008-08-19
THE BEACH HOUSE,Jane Green,Viking,A woman’s life changes when she rents out rooms in her Nantucket house.,17,0,9780670018857,hardcover-fiction,2008-08-19
SWAN PEAK,James Lee Burke,Simon & Schuster,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,18,0,9781416548522,hardcover-fiction,2008-08-19
RULES OF DECEPTION,Christopher Reich,Doubleday,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,19,0,9780385524063,hardcover-fiction,2008-08-19
SAY GOODBYE,Lisa Gardner,Bantam,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,20,0,9780553804331,hardcover-fiction,2008-08-19
THE FORCE UNLEASHED,Sean Williams,Del Rey,An apprentice to Darth Vader is dispatched to kill the last of his master’s enemies; a “Star Wars” novel.,1,1,9780345499028,hardcover-fiction,2008-09-09
SMOKE SCREEN,Sandra Brown,Simon & Schuster,"Scandalous deaths thwart the investigation of a fatal fire at the police headquarters in Charleston, S.C.",2,2,9781416563068,hardcover-fiction,2008-09-09
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",3,4,9780385340991,hardcover-fiction,2008-09-09
THE BOURNE SANCTION,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne pursues the leader of a Muslim terrorist group.,4,4,9780446539869,hardcover-fiction,2008-09-09
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",5,16,9780316068048,hardcover-fiction,2008-09-09
ACHERON,Sherrilyn Kenyon,St. Martin’s,Book 12 of the Dark-Hunter paranormal series.,6,3,9780312362157,hardcover-fiction,2008-09-09
THE SECRET SERVANT,Daniel Silva,Signet,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",7,5,9780451224507,hardcover-fiction,2008-09-09
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,8,11,9780061374227,hardcover-fiction,2008-09-09
OFF SEASON,Anne Rivers Siddons,Grand Central,A widow returns to her hometown in Maine.,9,2,9780446527873,hardcover-fiction,2008-09-09
THE LACE READER,Brunonia Barry,Morrow,Secrets of a family of Salem women who foresee the future.,10,4,9780061624766,hardcover-fiction,2008-09-09
THE MERCEDES COFFIN,Faye Kellerman,Morrow,Decker and Lazarus investigate cases of murder victims found in Mercedes-Benz trunks.,11,2,9780061227332,hardcover-fiction,2008-09-09
BEING ELIZABETH,Barbara Taylor Bradford,St. Martin’s,A 25-year-old newly in control of her family’s corporate empire faces tough choices in business and in love.,12,1,9780312354633,hardcover-fiction,2008-09-09
THE GARGOYLE,Andrew Davidson,Doubleday,A hideously burned man is cared for by a sculptress who claims they were lovers seven centuries ago.,13,3,9780385524940,hardcover-fiction,2008-09-09
FOREIGN BODY,Robin Cook,Putnam,A medical student investigates a rising number of deaths among medical tourists at foreign hospitals.,14,3,9780399155024,hardcover-fiction,2008-09-09
ROUGH JUSTICE,Jack Higgins,Putnam,Violence and intrigue await an American agent in Kosovo.,15,1,9780399155130,hardcover-fiction,2008-09-09
THE ASSASSIN,Stephen Coonts,St. Martin’s,A top Qaeda terrorist pursues the Western leaders who are trying to defeat him.,16,3,9780312323578,hardcover-fiction,2008-09-09
THE 19TH WIFE,David Ebershoff,Random House,A tale of Mormon outcasts past and present: a wife of Brigham Young and a son of a murdered polygamist.,17,0,9781400063970,hardcover-fiction,2008-09-09
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,18,0,9780312348670,hardcover-fiction,2008-09-09
TRIBUTE,Nora Roberts,Putnam,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",19,0,9780399154911,hardcover-fiction,2008-09-09
THE LAST PATRIOT,Brad Thor,Atria,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",20,0,9781416543831,hardcover-fiction,2008-09-09
THE OBAMA NATION,Jerome R. Corsi,Threshold,"The Democratic candidate as an extreme leftist, from the co-author of “Unfit for Command: Swift Boat Veterans Speak Out Against John Kerry.”",1,4,9781416598060,hardcover-nonfiction,2008-09-09
STORI TELLING,Tori Spelling with Hilary Liftin,Simon Spotlight Entertainment,"The actress’s memoir, from her Hollywood childhood through “Beverly Hills, 90210,” to her son’s birth.",2,13,9781416950738,hardcover-nonfiction,2008-09-09
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,3,18,9781416954125,hardcover-nonfiction,2008-09-09
THE LIMITS OF POWER,Andrew Bacevich,Holt,A retired Army colonel argues that Americans themselves are responsible for the country’s woes.,4,2,9780805088151,hardcover-nonfiction,2008-09-09
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,5,12,9780316143479,hardcover-nonfiction,2008-09-09
THE CASE AGAINST BARACK OBAMA,David Freddoso,Regnery,The Democratic candidate as a calculating extreme leftist.,6,3,9781596985667,hardcover-nonfiction,2008-09-09
THE WAY OF THE WORLD,Ron Suskind,Harper,How the Bush administration manipulated evidence about Iraq in its rush to war and other post-9/11 issues.,7,3,9780061430626,hardcover-nonfiction,2008-09-09
THE POST-AMERICAN WORLD: RELEASE 2.0,Fareed Zakaria,Norton,The rise of China and India and the global distribution of power.,8,17,9780393062359,hardcover-nonfiction,2008-09-09
FLEECED,Dick Morris and Eileen McGann,Harper,"Americans are fleeced by government, business, labor unions and lobbyists.",9,9,9780061547751,hardcover-nonfiction,2008-09-09
TRAFFIC,Tom Vanderbilt,Knopf,Why we drive the way we do.,10,3,9780307264787,hardcover-nonfiction,2008-09-09
NIGHT OF THE GUN,David Carr,Simon & Schuster,"A New York Times columnist and reporter recounts his past as a crack addict, and how he got his life back.",11,2,9781416541523,hardcover-nonfiction,2008-09-09
THE DARK SIDE,Jane Mayer,Anchor,How the Bush administration embraced the practice of torture.,12,6,9780385526395,hardcover-nonfiction,2008-09-09
THE WRECKING CREW,Thomas Frank,Metropolitan/­Holt,The deliberate mismanagement of Republican rule.,13,3,9780805079883,hardcover-nonfiction,2008-09-09
HAVANA NOCTURNE,T. J. English,Morrow,"Tales of the pre-Castro days when American gangsters, led by Meyer Lansky, controlled Cuba’s casinos, hotels and nightclubs, creating an exuberant night life.",14,5,9780061147715,hardcover-nonfiction,2008-09-09
WAITER RANT,Steve Dublanica,Harper Perennial,A waiter in an upscale New York City suburb dishes on customers’ outrageous behavior; first published anonymously in 2008.,15,4,9780061256684,hardcover-nonfiction,2008-09-09
AHEAD OF THE CURVE,Philip Delves Broughton,Penguin Press,An account of the author’s two years at Harvard Business School.,16,1,9781594201752,hardcover-nonfiction,2008-09-09
THE STRONGEST TRIBE,Bing West,Random House,How the war in Iraq has turned around.,17,0,9781400067015,hardcover-nonfiction,2008-09-09
FREAKONOMICS,Steven D. Levitt and Stephen J. Dubner,Morrow,"How to apply economic theory to almost everything.
",18,0,9780061234002,hardcover-nonfiction,2008-09-09
THE MONSTER OF FLORENCE,Douglas Preston with Mario Spezi,Grand Central,An American writer who moved to Florence works with an Italian journalist to discover the identity of a local serial killer.,19,0,9780446581196,hardcover-nonfiction,2008-09-09
THE RISE OF THE FOURTH REICH,Jim Marrs,Morrow,,20,0,9780061245589,hardcover-nonfiction,2008-09-09
DEVIL BONES,Kathy Reichs,Scribner,"Temperance Brennan, the forensic anthropologist, must identify two victims of voodoo and devil worship.",1,1,9780743294386,hardcover-fiction,2008-09-16
THE GYPSY MORPH,Terry Brooks,Del Rey/ Ballantine,The third volume of the Genesis of Shannara series.,2,1,9780345484147,hardcover-fiction,2008-09-16
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",3,5,9780385340991,hardcover-fiction,2008-09-16
